TIME;Original;Value
Q1 1960;34,8;1,865751662
Q2 1960;35,3;1,892558439
Q3 1960;35,7;1,91400386
Q4 1960;36,3;1,946171992
Q1 1961;37,4;2,005146901
Q2 1961;38,8;2,080205876
Q3 1961;39,6;2,123096719
Q4 1961;41;2,198155694
Q1 1962;41,5;2,224962471
Q2 1962;42,5;2,278576024
Q3 1962;43,2;2,316105511
Q4 1962;44;2,358996354
Q1 1963;43,9;2,353634999
Q2 1963;44,9;2,407248552
Q3 1963;46;2,466223461
Q4 1963;47;2,519837015
Q1 1964;47,3;2,535921081
Q2 1964;48,5;2,600257345
Q3 1964;49;2,627064122
Q4 1964;50,1;2,686039031
Q1 1965;51;2,734291229
Q2 1965;51,8;2,777182072
Q3 1965;52,1;2,793266138
Q4 1965;52,9;2,83615698
Q1 1966;53,8;2,884409179
Q2 1966;55;2,948745443
Q3 1966;55,9;2,996997641
Q4 1966;56,1;3,007720352
Q1 1967;57,7;3,093502037
Q2 1967;58,4;3,131031525
Q3 1967;60;3,21681321
Q4 1967;62,9;3,372292516
Q1 1968;64,4;3,452712846
Q2 1968;66,2;3,549217242
Q3 1968;68,6;3,677889771
Q4 1968;72;3,860175852
Q1 1969;71,8;3,849453142
Q2 1969;74;3,967402959
Q3 1969;77,7;4,165773107
Q4 1969;76,9;4,122882265
Q1 1970;77,8;4,171134463
Q2 1970;81,1;4,348059189
Q3 1970;83;4,449924941
Q4 1970;84,9;4,551790693
Q1 1971;88,9;4,766244907
Q2 1971;91,9;4,927085567
Q3 1971;94,2;5,05039674
Q4 1971;97,1;5,205876045
Q1 1972;100,9;5,409607549
Q2 1972;105;5,629423118
Q3 1972;109,2;5,854600043
Q4 1972;113,2;6,069054257
Q1 1973;121,3;6,50332404
Q2 1973;124,2;6,658803345
Q3 1973;128,1;6,867896204
Q4 1973;129,2;6,926871113
Q1 1974;133,7;7,168132104
Q2 1974;134,9;7,232468368
Q3 1974;133,7;7,168132104
Q4 1974;135,2;7,248552434
Q1 1975;135,9;7,286081922
Q2 1975;130,5;6,996568733
Q3 1975;131,9;7,071627707
Q4 1975;135,8;7,280720566
Q1 1976;136,3;7,307527343
Q2 1976;141,3;7,57559511
Q3 1976;143,6;7,698906284
Q4 1976;145,2;7,784687969
Q1 1977;148;7,934805919
Q2 1977;150,8;8,084923869
Q3 1977;155,5;8,33690757
Q4 1977;161,4;8,653227536
Q1 1978;162,8;8,728286511
Q2 1978;167,3;8,969547502
Q3 1978;174,8;9,371649153
Q4 1978;182,3;9,773750804
Q1 1979;183,2;9,822003002
Q2 1979;189,3;10,14904568
Q3 1979;191,7;10,27771821
Q4 1979;197,2;10,57259275
Q1 1980;202,6;10,86210594
Q2 1980;205,4;11,01222389
Q3 1980;208,3;11,1677032
Q4 1980;215,1;11,53227536
Q1 1981;219,7;11,77889771
Q2 1981;229;12,27750375
Q3 1981;234,5;12,5723783
Q4 1981;234,2;12,55629423
Q1 1982;240;12,86725284
Q2 1982;244,6;13,11387519
Q3 1982;247,7;13,2800772
Q4 1982;246,2;13,19965687
Q1 1983;249,8;13,39266567
Q2 1983;250;13,40338838
Q3 1983;253;13,56422904
Q4 1983;252,6;13,54278362
Q1 1984;253,6;13,59639717
Q2 1984;258,6;13,86446494
Q3 1984;263,8;14,14325541
Q4 1984;264,8;14,19686897
Q1 1985;266,4;14,28265065
Q2 1985;271,7;14,56680249
Q3 1985;271,9;14,5775252
Q4 1985;280,9;15,06004718
Q1 1986;285,3;15,29594682
Q2 1986;288,4;15,46214883
Q3 1986;294,9;15,81063693
Q4 1986;299,6;16,06262063
Q1 1987;304,1;16,30388162
Q2 1987;310;16,62020159
Q3 1987;312;16,72742869
Q4 1987;317,1;17,00085782
Q1 1988;321,4;17,2313961
Q2 1988;329;17,6388591
Q3 1988;334,9;17,95517907
Q4 1988;341,3;18,29830581
Q1 1989;350,7;18,80227321
Q2 1989;356,4;19,10787047
Q3 1989;365,8;19,61183787
Q4 1989;380,7;20,41067982
Q1 1990;390,7;20,94681535
Q2 1990;432,5;23,18786189
Q3 1990;456;24,4477804
Q4 1990;481,4;25,80956466
Q1 1991;494,6;26,51726356
Q2 1991;502,2;26,92472657
Q3 1991;515,5;27,63778683
Q4 1991;529;28,3615698
Q1 1992;546,8;29,31589106
Q2 1992;561,3;30,09328758
Q3 1992;589,9;31,62663521
Q4 1992;589,8;31,62127386
Q1 1993;599,2;32,12524126
Q2 1993;614,8;32,9616127
Q3 1993;624,7;33,49238688
Q4 1993;650,1;34,85417113
Q1 1994;662;35,49217242
Q2 1994;664,5;35,6262063
Q3 1994;652,6;34,98820502
Q4 1994;630,5;33,80334549
Q1 1995;968,8;51,94081064
Q2 1995;979,4;52,5091143
Q3 1995;992,8;53,22753592
Q4 1995;1011,3;54,21938666
Q1 1996;1032,1;55,33454857
Q2 1996;1047,9;56,18164272
Q3 1996;1068,1;57,2646365
Q4 1996;1084;58,117092
Q1 1997;1099,5;58,94810208
Q2 1997;1113;59,67188505
Q3 1997;1125,9;60,36349989
Q4 1997;1139,3;61,08192151
Q1 1998;1150,6;61,68775466
Q2 1998;1166,2;62,5241261
Q3 1998;1184,7;63,51597684
Q4 1998;1226,2;65,74093931
Q1 1999;1253,4;67,19922796
Q2 1999;1279,5;68,59854171
Q3 1999;1287,2;69,01136607
Q4 1999;1288,8;69,09714776
Q1 2000;1299,9;69,6922582
Q2 2000;1288,3;69,07034098
Q3 2000;1278,5;68,54492816
Q4 2000;1275,8;68,40017156
Q1 2001;1304,7;69,94960326
Q2 2001;1327,5;71,17199228
Q3 2001;1346,8;72,20673386
Q4 2001;1332,8;71,45614411
Q1 2002;1270,4;68,11065837
Q2 2002;1291,9;69,26334977
Q3 2002;1299,9;69,6922582
Q4 2002;1339,1;71,7939095
Q1 2003;1353,4;72,56058332
Q2 2003;1378,9;73,92772893
Q3 2003;1376,7;73,80977911
Q4 2003;1383,8;74,19043534
Q1 2004;1396,2;74,85524341
Q2 2004;1395,3;74,80699121
Q3 2004;1409;75,54149689
Q4 2004;1411,4;75,67016942
Q1 2005;1427,6;76,53870899
Q2 2005;1450,9;77,78790478
Q3 2005;1468,3;78,72078061
Q4 2005;1477,7;79,22474802
Q1 2006;1498,5;80,33990993
Q2 2006;1522,9;81,64808063
Q3 2006;1525,8;81,80355994
Q4 2006;1554,1;83,3208235
Q1 2007;1576,4;84,51640575
Q2 2007;1612,8;86,4679391
Q3 2007;1663,1;89,16470084
Q4 2007;1718;92,10808492
Q1 2008;1758,6;94,2847952
Q2 2008;1785,1;95,70555436
Q3 2008;1822;97,68389449
Q4 2008;1861,1;99,78018443
Q1 2009;1886,9;101,1634141
Q2 2009;1875,2;100,5361355
Q3 2009;1861,8;99,81771392
Q4 2009;1850,3;99,20115805
Q1 2010;1865,2;100
Q2 2010;1895,3;101,613768
Q3 2010;1912,7;102,5466438
Q4 2010;1931,5;103,5545786
Q1 2011;1960;105,0825649
Q2 2011;1990,7;106,728501
Q3 2011;2040,5;109,3984559
Q4 2011;2063,4;110,6262063
Q1 2012;2098;112,4812353
Q2 2012;2155,6;115,5693759
Q3 2012;2200,2;117,9605404
Q4 2012;2221,1;119,0810637
Q1 2013;2216;118,8076346
Q2 2013;2238,9;120,0353849
Q3 2013;2267,4;121,5633712
Q4 2013;2285,8;122,5498606
Q1 2014;2310;123,8473086
Q2 2014;2343,3;125,6326399
Q3 2014;2373,6;127,2571306
Q4 2014;2400;128,6725284
Q1 2015;2467,3;132,2807206
Q2 2015;2515,2;134,8488098
Q3 2015;2557,5;137,1166631
Q4 2015;2607,3;139,7866181
Q1 2016;2651,4;142,1509758
Q2 2016;2688,8;144,1561227
Q3 2016;2726,2;146,1612696
Q4 2016;2757,6;147,8447351
Q1 2017;2812,5;150,7881192
Q2 2017;2842,7;152,4072486
Q3 2017;2860,9;153,3830152
Q4 2017;2883,1;154,5732361
Q1 2018;2913,1;156,1816427
