DATE,DDOI07DEA648NWDB
1960-01-01,220045.0
1961-01-01,259941.0
1962-01-01,288957.0
1963-01-01,318219.0
1964-01-01,354230.0
1965-01-01,388807.0
1966-01-01,424166.0
1967-01-01,463119.0
1968-01-01,478472.0
1969-01-01,540718.0
1970-01-01,567597.0
1971-01-01,695560.0
1972-01-01,783808.0
1973-01-01,934781.0
1974-01-01,1000000.0
1975-01-01,960639.0
1976-01-01,1100000.0
1977-01-01,1300000.0
1978-01-01,1500000.0
1979-01-01,1500000.0
1980-01-01,1200000.0
1981-01-01,990238.0
1982-01-01,964073.0
1983-01-01,854532.0
1984-01-01,747358.0
1985-01-01,986279.0
1986-01-01,1300000.0
1987-01-01,1600000.0
1988-01-01,1400000.0
1989-01-01,1500000.0
1990-01-01,1900000.0
1991-01-01,1900000.0
1992-01-01,1900000.0
1993-01-01,1900000.0
1994-01-01,2200000.0
1995-01-01,2400000.0
1996-01-01,2300000.0
1997-01-01,2000000.0
1998-01-01,2200000.0
1999-01-01,2600000.0
2000-01-01,2400000.0
2001-01-01,1500000.0
2002-01-01,1900000.0
2003-01-01,2300000.0
2004-01-01,2500000.0
2005-01-01,2200000.0
2006-01-01,2500000.0
2007-01-01,3000000.0
2008-01-01,3000000.0
2009-01-01,3000000.0
2010-01-01,2900000.0
2011-01-01,2900000.0
2012-01-01,3100000.0
2013-01-01,3300000.0
2014-01-01,3000000.0
2015-01-01,2900000.0
